Município;2005;2004;2003
Pi-Cristino Castro;0;0;0
Pi-Curimata;0;0;0
Pi-Currais;0;0;0
Pi-Curralinhos;0;0;0
Pi-Curral Novo do Piaui;0;0;0
Pi-Demerval Lobao;0;0;0
Pi-Dirceu Arcoverde;0;0;0
Pi-Dom Expedito Lopes;0;0;0
Pi-Domingos Mourao;0;0;0
Pi-Dom Inocencio;0;0;0
Pi-Elesbao Veloso;0;0;0
Pi-Eliseu Martins;0;0;0
Pi-Esperantina;0;0;0
Pi-Fartura do Piaui;0;0;0
Pi-Flores do Piaui;0;0;0
Pi-Floresta do Piaui;0;0;0
Pi-Floriano;25;28;11
Pi-Francinopolis;0;0;0
Pi-Francisco Ayres;0;0;0
Pi-Francisco Macedo;0;0;0
Pi-Francisco Santos;0;0;0
Pi-Fronteiras;0;0;0
Pi-Geminiano;0;0;0
Pi-Gilbues;0;0;0
Pi-Guadalupe;0;0;0
Pi-Guaribas;0;0;0
Pi-Hugo Napoleao;0;0;0
Pi-Ilha Grande;0;0;0
Pi-Inhuma;0;0;0
Pi-Ipiranga do Piaui;0;0;0
Pi-Isaias Coelho;0;0;0
Pi-Itainopolis;0;0;0
Pi-Itaueira;0;0;0
