Município;2005;2004;2003
Pi-Cajueiro da Praia;0;0;0
Pi-Caldeirao Grande do Piaui;0;0;0
Pi-Campinas do Piaui;0;0;0
Pi-Campo Alegre do Fidalgo;0;0;0
Pi-Campo Grande do Piaui;0;0;0
Pi-Campo Largo do Piaui;0;0;0
Pi-Campo Maior;2;3;2
Pi-Canavieira;0;0;0
Pi-Canto do Buriti;0;0;0
Pi-Capitao de Campos;0;0;0
Pi-Capitao Gervasio Oliveira;0;0;0
Pi-Caracol;0;0;0
Pi-Caraubas do Piaui;0;0;0
Pi-Caridade do Piaui;0;0;0
Pi-Castelo do Piaui;0;0;0
Pi-Caxingo;0;0;0
Pi-Cocal;0;0;0
Pi-Cocal de Telha;0;0;0
Pi-Cocal dos Alves;0;0;0
Pi-Coivaras;0;0;0
Pi-Colonia do Gurgueia;0;0;0
Pi-Colonia do Piaui;0;0;0
Pi-Conceicao do Caninde;0;0;0
Pi-Coronel Jose Dias;0;0;0
Pi-Corrente;6;3;2
Pi-Cristalandia do Piaui;2;1;0
Pi-Cristino Castro;0;0;0
Pi-Curimata;0;0;0
Pi-Currais;0;0;0
Pi-Curralinhos;0;0;0
Pi-Curral Novo do Piaui;0;0;0
Pi-Demerval Lobao;0;0;0
Pi-Dirceu Arcoverde;0;0;0
Pi-Dom Expedito Lopes;0;0;0
Pi-Domingos Mourao;0;0;0
Pi-Dom Inocencio;0;0;0
Pi-Elesbao Veloso;0;0;0
Pi-Eliseu Martins;0;0;0
Pi-Esperantina;0;0;0
Pi-Fartura do Piaui;0;0;0
Pi-Flores do Piaui;0;0;0
Pi-Floresta do Piaui;0;0;0
Pi-Floriano;4;6;3
Pi-Francinopolis;0;0;0
Pi-Francisco Ayres;0;0;0
Pi-Francisco Macedo;0;0;0
Pi-Francisco Santos;0;0;0
Pi-Fronteiras;0;0;0
Pi-Geminiano;0;0;0
Pi-Gilbues;0;0;0
Pi-Guadalupe;0;0;0
Pi-Guaribas;0;0;0
Pi-Hugo Napoleao;0;0;0
Pi-Ilha Grande;0;0;0
Pi-Inhuma;0;0;0
Pi-Ipiranga do Piaui;0;0;0
Pi-Isaias Coelho;0;0;0
Pi-Itainopolis;0;0;0
Pi-Itaueira;0;0;0
Pi-Jacobina do Piaui;0;0;0
Pi-Jaicos;0;0;0
Pi-Jardim do Mulato;0;0;0
