Município;2021;2020;2019;2018;2017
Ma-Presidente Medici;0;0;0;0;0
Ma-Presidente Sarney;0;0;0;0;0
Ma-Presidente Vargas;0;0;0;0;0
Ma-Primeira Cruz;0;0;0;0;0
Ma-Raposa;1;1;1;1;1
Ma-Riachao;0;0;0;0;0
Ma-Ribamar Fiquene;0;0;0;0;0
Ma-Rosario;0;0;0;0;0
Ma-Sambaiba;0;0;0;0;0
Ma-Santa Filomena do Maranhao;0;0;0;0;0
Ma-Santa Helena;0;0;0;0;0
Ma-Santa Ines;1;0;0;0;0
Ma-Santa Luzia;0;0;0;0;0
Ma-Santa Luzia do Parua;0;0;0;0;0
Ma-Santa Quiteria do Maranhao;0;0;0;0;0
Ma-Santa Rita;0;0;0;0;0
Ma-Santana do Maranhao;0;0;0;0;0
Ma-Santo Amaro do Maranhao;0;0;0;0;0
Ma-Santo Antonio dos Lopes;0;0;0;0;0
Ma-Sao Benedito do Rio Preto;0;0;0;0;0
Ma-Sao Bento;0;0;0;0;0
Ma-Sao Bernardo;0;0;0;0;0
Ma-Sao Domingos do Azeitao;0;0;0;0;0
Ma-Sao Domingos do Maranhao;0;0;0;0;0
Ma-Sao Felix de Balsas;0;0;0;0;0
Ma-Sao Francisco do Brejao;0;0;0;0;0
Ma-Sao Francisco do Maranhao;0;0;0;0;0
Ma-Sao Joao Batista;0;0;0;0;0
Ma-Sao Joao do Caru;0;0;0;0;0
Ma-Sao Joao do Paraiso;0;0;0;0;0
Ma-Sao Joao do Soter;0;0;0;0;0
